target_id	length	eff_length	est_counts	tpm
TRINITY_DN4545_c0_g1_i1	1056	880.801	453	48.9878
TRINITY_DN4528_c0_g1_i1	344	172.895	10	5.50916
TRINITY_DN4528_c0_g2_i1	765	589.801	44	7.10582
TRINITY_DN4542_c0_g1_i1	249	89.6253	7	7.43934
TRINITY_DN4523_c0_g1_i1	348	176.558	15	8.09228
TRINITY_DN4549_c0_g1_i3	2114	1938.8	24.0925	1.18363
TRINITY_DN4549_c0_g1_i4	1985	1809.8	26.7986	1.41042
TRINITY_DN4549_c0_g1_i1	2060	1884.8	153.109	7.73752
TRINITY_DN4584_c0_g1_i1	669	493.836	49	9.45105
TRINITY_DN4550_c0_g1_i1	1012	836.801	119	13.5454
TRINITY_DN4596_c0_g1_i1	1560	1384.8	227	15.6137
TRINITY_DN4531_c0_g1_i1	1112	936.801	76	7.7274
TRINITY_DN4507_c0_g1_i1	796	620.801	42.0215	6.44743
TRINITY_DN4507_c0_g1_i2	641	465.852	13.9785	2.85811
TRINITY_DN4515_c0_g1_i1	457	282.497	11	3.70891
TRINITY_DN4574_c0_g2_i1	716	540.801	25	4.40321
TRINITY_DN4574_c0_g1_i1	3121	2945.8	296	9.57096
TRINITY_DN4572_c0_g1_i1	285	119.584	19	15.1338
TRINITY_DN4518_c0_g2_i1	4284	4108.8	399	9.24964
TRINITY_DN4518_c0_g1_i2	1689	1513.8	149	9.37529
TRINITY_DN4579_c0_g2_i1	1149	973.801	77	7.53161
TRINITY_DN4579_c0_g1_i1	436	261.706	11	4.00356
TRINITY_DN4513_c0_g1_i1	419	244.991	47	18.2732
TRINITY_DN4560_c0_g2_i1	1860	1684.8	121	6.84075
TRINITY_DN4560_c0_g3_i1	794	618.801	45	6.92674
TRINITY_DN4560_c0_g1_i1	636	460.852	30	6.2005
TRINITY_DN4501_c0_g1_i1	546	370.96	33	8.47332
TRINITY_DN4501_c0_g3_i1	773	597.801	44	7.01073
TRINITY_DN4501_c0_g2_i1	402	228.337	17	7.09152
TRINITY_DN4590_c0_g1_i1	206	57.9729	5	8.21508
TRINITY_DN4537_c0_g2_i1	933	757.801	79	9.92977
TRINITY_DN4537_c0_g3_i1	986	810.801	70	8.22339
TRINITY_DN4537_c0_g1_i1	567	391.909	17	4.13172
TRINITY_DN4556_c0_g2_i1	212	62.0191	6	9.21494
TRINITY_DN4556_c0_g1_i1	395	221.51	8	3.44005
TRINITY_DN4525_c0_g2_i1	414	240.064	32	12.6967
TRINITY_DN4525_c0_g1_i2	451	276.562	15	5.16613
TRINITY_DN4582_c0_g1_i1	266	103.388	5	4.60644
TRINITY_DN4589_c0_g2_i1	328	158.052	9	5.42389
TRINITY_DN4589_c0_g1_i1	335	164.548	19	10.9984
TRINITY_DN4544_c0_g1_i2	1455	1279.8	7.70785	0.573665
TRINITY_DN4544_c0_g1_i1	1398	1222.8	335.569	26.1393
TRINITY_DN4544_c0_g1_i3	1157	981.801	26.7227	2.59254
TRINITY_DN8966_c0_g1_i1	252	91.9745	6	6.21371
TRINITY_DN8915_c0_g1_i1	223	69.8548	4	5.4542
TRINITY_DN8923_c0_g1_i1	1322	1146.8	226	18.771
TRINITY_DN8984_c0_g1_i1	3754	3578.8	1120	29.809
TRINITY_DN8949_c0_g1_i1	734	558.801	60	10.2273
TRINITY_DN8928_c0_g1_i1	463	288.439	13	4.29295
TRINITY_DN8996_c0_g1_i1	383	209.935	17	7.71312
TRINITY_DN8931_c0_g1_i1	742	566.801	16	2.68879
TRINITY_DN8956_c0_g1_i2	817	641.801	62.6689	9.30078
TRINITY_DN8956_c0_g1_i1	249	89.6253	4.33106	4.60288
TRINITY_DN8990_c0_g1_i1	1161	985.801	95	9.17913
TRINITY_DN8937_c0_g1_i1	214	63.4064	5	7.51111
TRINITY_DN8944_c0_g1_i1	645	469.852	16	3.24359
TRINITY_DN8989_c0_g1_i1	709	533.801	104	18.5576
TRINITY_DN8982_c0_g1_i1	899	723.801	34	4.47432
TRINITY_DN8979_c0_g1_i1	248	88.9156	5	5.35623
TRINITY_DN8913_c0_g1_i1	237	80.3593	3	3.55592
TRINITY_DN8972_c0_g1_i1	291	124.795	8	6.10605
TRINITY_DN8918_c0_g1_i1	1346	1170.8	314	25.5455
TRINITY_DN8901_c0_g2_i1	799	623.801	22	3.35926
TRINITY_DN8901_c0_g1_i1	317	148.078	12	7.71894
TRINITY_DN8967_c0_g1_i1	738	562.801	37	6.26202
TRINITY_DN8975_c0_g1_i1	540	364.972	67	17.4857
TRINITY_DN8914_c0_g1_i1	255	94.4131	7	7.06208
TRINITY_DN8985_c0_g1_i1	650	474.852	39	7.823
TRINITY_DN8948_c0_g1_i1	474	299.361	35	11.1363
TRINITY_DN8922_c0_g1_i1	548	372.96	34.511	8.81378
TRINITY_DN8929_c0_g1_i1	1304	1128.8	65	5.48483
TRINITY_DN8997_c0_g1_i1	405	231.245	23	9.47377
TRINITY_DN8951_c0_g1_i1	1151	975.801	52	5.07585
TRINITY_DN8951_c0_g2_i1	353	181.292	9	4.72859
TRINITY_DN8957_c0_g1_i2	244	85.8296	3	3.32929
TRINITY_DN8957_c0_g1_i1	265	102.526	3	2.78711
TRINITY_DN8936_c0_g1_i1	284	118.718	11	8.82556
TRINITY_DN8936_c0_g2_i1	734	558.801	28	4.77274
TRINITY_DN8991_c0_g1_i1	330	159.905	10	5.95667
TRINITY_DN8945_c0_g1_i1	210	60.6473	6	9.42338
TRINITY_DN8988_c0_g1_i1	211	61.3198	4	6.21335
TRINITY_DN8983_c0_g2_i1	209	59.9755	3	4.76447
TRINITY_DN8983_c0_g1_i1	1075	899.801	190	20.1129
TRINITY_DN8924_c0_g2_i1	541	365.972	13	3.38347
TRINITY_DN8924_c0_g1_i1	320	150.807	6	3.78964
TRINITY_DN8912_c0_g1_i1	1292	1116.8	75	6.39665
TRINITY_DN8919_c0_g1_i1	577	401.896	22	5.21406
TRINITY_DN8973_c0_g1_i1	890	714.801	72	9.59433
TRINITY_DN8900_c0_g1_i1	207	58.6781	5	8.11635
TRINITY_DN8905_c0_g1_i1	1849	1673.8	313	17.8118
TRINITY_DN8964_c0_g1_i1	362	189.855	12	6.02043
TRINITY_DN8917_c0_g1_i1	247	88.1512	10	10.8054
TRINITY_DN8940_c0_g1_i1	286	120.47	7	5.53461
TRINITY_DN8921_c0_g1_i1	1916	1740.8	345	18.8772
TRINITY_DN8986_c0_g1_i1	382	208.985	12	5.46933
TRINITY_DN8952_c0_g1_i1	424	249.883	18	6.86124
TRINITY_DN8952_c0_g2_i1	232	76.4895	8	9.9622
TRINITY_DN8938_c0_g1_i1	517	342.077	14	3.89826
TRINITY_DN8959_c0_g1_i1	644	468.852	24	4.87576
TRINITY_DN8994_c0_g1_i1	545	369.96	24	6.17907
TRINITY_DN8994_c0_g2_i2	322	152.671	3.3	2.05884
TRINITY_DN8994_c0_g2_i1	322	152.671	7.7	4.80397
TRINITY_DN8933_c0_g2_i1	983	807.801	56	6.60314
TRINITY_DN8933_c0_g1_i1	2628	2452.8	202	7.84433
TRINITY_DN8992_c0_g1_i1	576	400.896	12	2.85113
TRINITY_DN8935_c0_g1_i1	239	81.9602	5	5.81077
TRINITY_DN8999_c0_g1_i1	201	54.5833	2	3.4901
TRINITY_DN8954_c0_g1_i1	229	74.214	3	3.85037
TRINITY_DN8954_c0_g2_i1	577	401.896	16	3.79204
TRINITY_DN8927_c0_g1_i1	2589	2413.8	678	26.7544
TRINITY_DN8980_c0_g1_i1	211	61.3198	11	17.0867
TRINITY_DN8970_c0_g1_i1	291	124.795	4	3.05302
TRINITY_DN8911_c0_g1_i1	480	305.321	16	4.99149
TRINITY_DN8911_c0_g2_i1	482	307.28	24	7.4395
TRINITY_DN8908_c0_g1_i1	1360	1184.8	43	3.45693
TRINITY_DN8908_c0_g2_i1	232	76.4895	5	6.22638
TRINITY_DN8962_c0_g1_i1	269	105.913	6	5.39595
TRINITY_DN8962_c0_g2_i1	1434	1258.8	54	4.08605
TRINITY_DN8903_c0_g1_i1	449	274.58	39	13.5289
TRINITY_DN8969_c0_g1_i1	1839	1663.8	147	8.41556
TRINITY_DN8904_c0_g1_i1	864	688.801	51.7862	7.16123
TRINITY_DN8904_c0_g1_i5	801	625.801	6.63793	1.01033
TRINITY_DN8904_c0_g1_i4	734	558.801	23.1225	3.94135
TRINITY_DN8904_c0_g1_i2	1407	1231.8	161.479	12.4866
TRINITY_DN8904_c0_g1_i6	1282	1106.8	294.146	25.314
TRINITY_DN8904_c0_g1_i3	1456	1280.8	69.828	5.19296
TRINITY_DN8965_c0_g1_i1	341	170.127	15	8.39817
TRINITY_DN8965_c0_g2_i1	357	185.088	15	7.71934
TRINITY_DN8977_c0_g1_i1	397	223.435	6	2.5578
TRINITY_DN8941_c0_g2_i1	1396	1220.8	58	4.52533
TRINITY_DN8941_c0_g1_i1	683	507.836	30	5.62684
TRINITY_DN8987_c0_g1_i2	760	584.801	11.476	1.86917
TRINITY_DN8987_c0_g1_i3	820	644.801	68.4606	10.113
TRINITY_DN8987_c0_g1_i1	872	696.801	20.0635	2.74261
TRINITY_DN8920_c0_g1_i1	1065	889.801	128	13.702
TRINITY_DN8939_c0_g1_i1	362	189.855	9	4.51532
TRINITY_DN8953_c0_g1_i1	975	799.801	52	6.19282
TRINITY_DN8995_c0_g1_i1	438	263.679	10	3.61236
TRINITY_DN8934_c0_g1_i1	3042	2866.8	405	13.4563
TRINITY_DN8993_c0_g1_i1	610	434.883	48	10.5132
TRINITY_DN8998_c0_g1_i1	202	55.2805	9	15.5074
TRINITY_DN8955_c0_g1_i1	307	139.062	13	8.90435
TRINITY_DN8955_c0_g2_i1	394	220.532	15	6.47868
TRINITY_DN8926_c0_g1_i1	2235	2059.8	126	5.82656
TRINITY_DN8947_c0_g1_i2	236	79.5659	4	4.78851
TRINITY_DN8971_c0_g1_i1	334	163.587	5	2.91132
TRINITY_DN8910_c0_g1_i1	666	490.836	7.95583	1.54389
TRINITY_DN8910_c0_g1_i2	1312	1136.8	96.0442	8.04736
TRINITY_DN8963_c0_g1_i1	235	78.7586	8	9.67517
TRINITY_DN8909_c0_g1_i1	352	180.347	8	4.22521
TRINITY_DN8902_c0_g1_i1	419	244.991	25	9.71979
TRINITY_DN4241_c0_g1_i2	314	145.396	13.3949	8.77515
TRINITY_DN4241_c0_g1_i1	316	147.205	15.6051	10.0974
TRINITY_DN4287_c0_g1_i1	635	459.852	85	17.6063
TRINITY_DN4220_c0_g1_i1	218	66.2435	1	1.43788
TRINITY_DN4220_c0_g2_i1	274	110.117	23	19.8948
TRINITY_DN4239_c0_g1_i1	1824	1648.8	487.959	28.1891
TRINITY_DN4239_c0_g1_i3	1763	1587.8	31.3491	1.8806
TRINITY_DN4239_c0_g1_i2	1325	1149.8	29.6923	2.45973
TRINITY_DN4253_c0_g1_i1	242	84.2714	7	7.91197
TRINITY_DN4232_c0_g1_i1	587	411.883	22	5.08764
TRINITY_DN4232_c0_g2_i1	669	493.836	19	3.66469
TRINITY_DN4258_c0_g2_i1	221	68.3918	7	9.74902
TRINITY_DN4258_c0_g1_i1	436	261.706	13	4.73148
TRINITY_DN4295_c0_g1_i2	498	323.166	31.2643	9.21488
TRINITY_DN4295_c0_g1_i1	4409	4233.8	61.0783	1.37412
TRINITY_DN4295_c0_g1_i3	4568	4392.8	983.657	21.3289
TRINITY_DN4295_c0_g3_i1	471	296.371	25	8.03472
TRINITY_DN4295_c0_g2_i1	2220	2044.8	520	24.2225
TRINITY_DN4204_c0_g1_i1	389	215.7	19	8.39016
TRINITY_DN4265_c0_g1_i1	5983	5807.8	3806	62.42
TRINITY_DN4216_c1_g2_i1	206	57.9729	2	3.28603
TRINITY_DN4216_c0_g1_i1	2105	1929.8	1407	69.4462
TRINITY_DN4216_c1_g1_i2	1042	866.801	91.5315	10.0582
TRINITY_DN4216_c1_g1_i1	915	739.801	51.4685	6.62664
TRINITY_DN4277_c0_g1_i1	1152	976.801	148	14.4319
TRINITY_DN4271_c0_g1_i1	326	156.196	10	6.09813
TRINITY_DN4210_c0_g1_i1	411	237.112	14	5.62396
TRINITY_DN4263_c0_g1_i1	693	517.836	27	4.96636
TRINITY_DN4209_c0_g1_i1	3655	3479.8	416	11.3869
TRINITY_DN4268_c0_g1_i1	607	431.883	33	7.27805
TRINITY_DN4268_c0_g2_i1	616	440.883	20	4.3209
TRINITY_DN4234_c0_g1_i1	769	593.801	163	26.1465
TRINITY_DN4293_c0_g2_i1	747	571.801	43	7.16293
TRINITY_DN4293_c0_g1_i1	3461	3285.8	406	11.7693
TRINITY_DN4255_c1_g1_i1	302	134.549	14	9.91093
TRINITY_DN4255_c0_g1_i1	215	64.1291	7.38315	10.9661
TRINITY_DN4255_c0_g1_i2	214	63.4064	7.61685	11.4422
TRINITY_DN4255_c0_g2_i1	221	68.3918	5	6.96358
TRINITY_DN4226_c0_g1_i1	726	550.801	508	87.8489
TRINITY_DN4247_c0_g1_i1	4200	4024.8	1803	42.6696
TRINITY_DN4240_c0_g1_i1	801	625.801	48	7.30587
TRINITY_DN4221_c0_g1_i1	293	126.523	9	6.7755
TRINITY_DN4286_c0_g1_i1	2117	1941.8	53.3606	2.61748
TRINITY_DN4286_c0_g1_i2	2061	1885.8	989.639	49.986
TRINITY_DN4252_c0_g2_i1	1201	1025.8	506	46.9845
TRINITY_DN4252_c0_g1_i1	1740	1564.8	1056	64.2794
TRINITY_DN4238_c0_g1_i1	381	208.033	12	5.49433
TRINITY_DN4259_c0_g1_i2	496	321.166	12	3.55892
TRINITY_DN4294_c0_g1_i1	2475	2299.8	738	30.5656
TRINITY_DN4233_c0_g1_i1	234	78.02	5	6.10423
TRINITY_DN4205_c0_g1_i1	936	760.801	57	7.13626
TRINITY_DN4264_c0_g1_i1	3877	3701.8	351	9.03152
TRINITY_DN4264_c0_g2_i1	446	271.617	32	11.2217
TRINITY_DN4217_c0_g1_i1	1514	1338.8	136	9.67587
TRINITY_DN4276_c0_g1_i2	4245	4069.8	178.178	4.17012
TRINITY_DN4276_c0_g1_i1	4233	4057.8	301.822	7.08478
TRINITY_DN4270_c0_g2_i1	866	690.801	53	7.30786
TRINITY_DN4270_c0_g1_i1	1195	1019.8	144	13.4497
TRINITY_DN4211_c0_g1_i1	625	449.883	21	4.44618
TRINITY_DN4208_c0_g2_i1	1182	1006.8	72	6.81171
TRINITY_DN4208_c0_g1_i1	351	179.426	31	16.4567
TRINITY_DN4262_c0_g2_i1	508	333.134	67	19.1568
TRINITY_DN4262_c0_g1_i2	2591	2415.8	132.675	5.23113
TRINITY_DN4262_c0_g1_i1	2616	2440.8	836.325	32.637
TRINITY_DN4203_c0_g1_i1	1163	987.801	50.6838	4.88728
TRINITY_DN4203_c0_g1_i2	515	340.089	10.3162	2.8893
TRINITY_DN4269_c0_g1_i1	529	354.008	38	10.2244
TRINITY_DN4292_c0_g1_i1	397	223.435	10	4.263
TRINITY_DN4292_c0_g2_i1	281	116.054	11	9.02817
TRINITY_DN4299_c0_g1_i2	1197	1021.8	28.5727	2.6635
TRINITY_DN4299_c0_g1_i1	1206	1030.8	65.4273	6.04577
TRINITY_DN4299_c0_g2_i1	317	148.078	9	5.7892
TRINITY_DN4254_c0_g1_i1	477	302.361	52	16.3811
TRINITY_DN4254_c0_g2_i1	235	78.7586	30	36.2819
TRINITY_DN4227_c0_g1_i1	2211	2035.8	128	5.98883
TRINITY_DN4280_c0_g1_i2	1551	1375.8	418.432	28.9692
TRINITY_DN4280_c0_g1_i1	524	349.02	4.56771	1.24657
TRINITY_DN4246_c0_g1_i2	218	66.2435	5.79004	8.3254
TRINITY_DN4246_c0_g1_i1	3232	3056.8	726.335	22.6327
TRINITY_DN4246_c0_g1_i3	3028	2852.8	55.875	1.86558
TRINITY_DN4246_c0_g2_i1	731	555.801	80	13.71
TRINITY_DN4285_c0_g1_i1	8863	8687.8	3042	33.3516
TRINITY_DN4248_c0_g1_i1	252	91.9745	7	7.24933
TRINITY_DN4222_c0_g1_i1	247	88.1512	8	8.64428
TRINITY_DN4222_c0_g2_i1	579	403.896	27	6.36739
TRINITY_DN4229_c0_g2_i1	530	354.996	34	9.12267
TRINITY_DN4229_c0_g1_i1	803	627.801	98	14.8686
TRINITY_DN4230_c0_g1_i1	1046	870.801	44	4.81283
TRINITY_DN4297_c0_g1_i1	3177	3001.8	1614	51.214
TRINITY_DN4251_c0_g1_i1	1142	966.801	49	4.82754
TRINITY_DN4267_c0_g1_i1	1994	1818.8	1166	61.0633
TRINITY_DN4206_c0_g2_i1	380	207.082	7	3.21975
TRINITY_DN4206_c0_g1_i1	668	492.836	22	4.25194
TRINITY_DN4275_c0_g1_i1	509	334.134	9.52783	2.71607
TRINITY_DN4275_c0_g1_i2	675	499.836	159.472	30.3896
TRINITY_DN4214_c0_g1_i3	227	72.6724	4	5.24273
TRINITY_DN4214_c0_g1_i1	402	228.337	5.7964	2.41796
TRINITY_DN4214_c0_g1_i2	305	137.238	15.2036	10.5521
TRINITY_DN4214_c0_g2_i1	301	133.647	4	2.85081
TRINITY_DN4212_c0_g1_i1	1230	1054.8	51.9584	4.69194
TRINITY_DN4212_c0_g1_i2	1287	1111.8	205.042	17.5664
TRINITY_DN4278_c0_g1_i1	3245	3069.8	230.961	7.1663
TRINITY_DN4278_c0_g1_i2	2400	2224.8	138.039	5.90987
TRINITY_DN4219_c0_g1_i1	2092	1916.8	376	18.6843
TRINITY_DN4273_c0_g1_i1	1764	1588.8	178	10.6713
TRINITY_DN4200_c0_g1_i1	663	487.836	22.8271	4.45701
TRINITY_DN4200_c0_g1_i2	910	734.801	86.1729	11.1704
TRINITY_DN4261_c0_g1_i1	467	292.41	18	5.86336
TRINITY_DN4261_c0_g2_i1	833	657.801	35	5.06805
TRINITY_DN4257_c0_g1_i1	1824	1648.8	135	7.79889
TRINITY_DN4236_c0_g3_i1	2419	2243.8	235.091	9.97972
TRINITY_DN4236_c0_g3_i7	491	316.166	10.1874	3.06912
TRINITY_DN4236_c0_g3_i2	2056	1880.8	150.37	7.61527
TRINITY_DN4236_c0_g3_i4	325	155.308	7.86648	4.82452
TRINITY_DN4236_c0_g3_i3	257	96.0038	9.48533	9.4109
TRINITY_DN4236_c0_g2_i1	5375	5199.8	753.449	13.8017
TRINITY_DN4236_c0_g2_i2	5366	5190.8	195.551	3.58833
TRINITY_DN4236_c0_g1_i1	1124	948.801	73	7.3285
TRINITY_DN4236_c0_g1_i2	311	142.619	1	0.667866
TRINITY_DN4236_c0_g4_i1	399	225.405	7.43711	3.14273
TRINITY_DN4236_c0_g4_i2	1382	1206.8	123.563	9.75258
TRINITY_DN4291_c0_g1_i1	293	126.523	6	4.517
TRINITY_DN4291_c0_g2_i1	813	637.801	32	4.77894
TRINITY_DN4291_c0_g3_i1	340	169.196	4	2.25183
TRINITY_DN4245_c0_g1_i1	410	236.143	22.5074	9.07857
